blast_n4  cards_r3  sheet check: 16 frames measured, 4 fail, worst excursion 396 world units (card half 135.3 x 360.8, depthSpan 3072)
blast_n4  cards     sheet check: 16 frames measured, 0 fail, worst excursion 0 world units (card half 135.3 x 360.8, depthSpan 3072)
blast_n8  cards_r3  sheet check: 64 frames measured, 17 fail, worst excursion 396 world units (card half 139.4 x 371.8, depthSpan 3072)
blast_n8  cards     sheet check: 64 frames measured, 0 fail, worst excursion 0 world units (card half 139.4 x 371.8, depthSpan 3072)
maple_n4  cards_r3  sheet check: 16 frames measured, 3 fail, worst excursion 793 world units (card half 439.5 x 879.0, depthSpan 3072)
maple_n4  cards     sheet check: 16 frames measured, 2 fail, worst excursion 836 world units (card half 439.5 x 879.0, depthSpan 3072)
dead_n4   cards_r3  sheet check: 16 frames measured, 6 fail, worst excursion 694 world units (card half 222.2 x 888.8, depthSpan 3072)
dead_n4   cards     sheet check: 16 frames measured, 0 fail, worst excursion 0 world units (card half 222.2 x 888.8, depthSpan 3072)
rock_n4   cards_r3  sheet check: 16 frames measured, 16 fail, worst excursion 1791 world units (card half 1727.9 x 1727.9, depthSpan 5048)
rock_n4   cards     sheet check: 16 frames measured, 2 fail, worst excursion 1557 world units (card half 1727.9 x 1727.9, depthSpan 5048)
