tile                              score  colour   lumSD     lum tiltDeg
Commonwealth.4.-60.36             711.9   18.69   13.08    92.9   38.09
Commonwealth.4.-60.32             701.4   18.24   13.13    94.6   38.45
Commonwealth.4.-60.44             701.0   19.23   12.78    87.5   36.45
Commonwealth.4.-64.32             676.3   18.29   13.89    91.0   36.97
Commonwealth.4.-56.44             654.7   17.92   13.46    91.0   36.53
Commonwealth.4.-60.40             648.4   16.06   15.77    91.0   40.38
Commonwealth.4.-56.32             645.8   16.92   14.32    92.7   38.16
Commonwealth.4.-64.44             625.2   22.89   10.44    83.2   27.31
Commonwealth.4.-56.36             609.1   14.36   13.96    97.6   42.42
Commonwealth.4.-64.36             604.3   20.45   11.71    81.2   29.55
Commonwealth.4.-64.40             603.2   19.23   15.29    82.0   31.37
Commonwealth.4.-56.40             592.1   15.41   16.57    88.8   38.43
Commonwealth.4.-52.36             580.6   15.74   13.09    94.5   36.90
Commonwealth.4.-52.32             577.5   14.56   15.22    90.5   39.67
Commonwealth.4.-52.44             550.1   17.90   10.76    79.6   30.73
Commonwealth.4.-52.40             531.7   16.04   13.53    87.5   33.14
...16 tiles at dim 4 measured
