tile                              score  colour   lumSD     lum tiltDeg
Commonwealth.16.-32.-96           178.8   12.90    3.52    65.5   13.86
Commonwealth.16.64.80             178.7   13.11    3.32    66.1   13.63
Commonwealth.16.-96.64            178.5   12.99    3.43    65.8   13.74
Commonwealth.16.-96.-80           178.4   12.97    3.21    65.6   13.75
Commonwealth.16.64.-32            178.4   12.86    3.27    65.7   13.87
Commonwealth.16.64.64             178.2   13.00    3.25    65.9   13.71
Commonwealth.16.48.64             178.1   12.94    3.36    66.3   13.76
Commonwealth.16.-80.80            177.6   12.90    3.37    65.7   13.77
Commonwealth.16.-48.-96           177.5   13.04    3.37    65.9   13.61
Commonwealth.16.-16.-96           177.5   12.90    3.30    65.5   13.76
Commonwealth.16.-96.-32           177.4   12.98    3.82    65.9   13.66
Commonwealth.16.64.-16            177.3   12.94    3.10    66.0   13.70
Commonwealth.16.64.16             177.2   12.95    3.30    64.9   13.68
Commonwealth.16.-32.80            177.2   12.95    3.44    65.2   13.68
Commonwealth.16.64.0              176.9   12.84    3.16    65.9   13.78
Commonwealth.16.32.48             176.9   12.80    3.32    66.0   13.83
Commonwealth.16.80.-16            176.6   12.92    3.48    66.5   13.67
Commonwealth.16.80.32             176.2   12.76    3.33    65.9   13.81
Commonwealth.16.48.48             176.0   12.85    3.52    66.1   13.70
Commonwealth.16.32.80             175.4   12.74    3.42    65.7   13.77
Commonwealth.16.80.-96            175.1   12.88    3.01    65.4   13.59
Commonwealth.16.48.-16            174.5   12.63    3.50    65.7   13.82
...108 tiles at dim 16 measured
