AMBIGUITY OF COLOUR -> DOMINANT MATERIAL
far-area-weighted mean top-1 share over the bins the far terrain actually uses: 27.3%
far area in bins with no painted sample at all (top 60): 0.74%

# bin(6-bit RGB)  farQuads  farShare  cum  paintedN  top1Share  nDistinct  entropyBits   materials
(19, 17, 14)        655   0.50%  86.46%        63      39.7%         15        2.90   <no BTXT under layers> 40%, LNFoothillsRubbleRock01 16%, LDriedGrass01 13%
(14, 12, 11)        557   0.42%  86.88%       244      21.3%         23        3.65   LMarshMudFloor01 21%, LBlastedForestDirt01 17%, LCoastSandWet01 16%
(26, 25, 23)        484   0.37%  87.25%         4      25.0%          4        2.00   LDebrisGround 25%, <no BTXT under layers> 25%, LDirtGravel01 25%
(17, 16, 13)        467   0.35%  87.61%        94      37.2%         19        2.84   LNFoothillsRubbleRock01 37%, LNF_Dirt01 29%, <no BTXT under layers> 7%
(12, 10, 8)         467   0.35%  87.96%         5      60.0%          3        1.37   LMarshMudFloor01 60%, LCoastGrassSand01 20%, LOceanFloor01 20%
(16, 15, 12)        438   0.33%  88.29%        20      35.0%          8        2.56   LNF_Dirt01 35%, LNFoothillsRubbleRock01 25%, <no BTXT under layers> 10%
(12, 11, 9)         433   0.33%  88.62%        58      63.8%          9        1.93   LMarshMudFloor01 64%, LCoastSandWet01 10%, LOceanFloor01 7%
(23, 22, 19)        430   0.33%  88.95%       110      42.7%         11        2.64   <no BTXT under layers> 43%, LDirtGravel01 20%, LRubbleRock01 7%
(24, 22, 20)        400   0.30%  89.25%        59      52.5%         14        2.62   <no BTXT under layers> 53%, LDebrisGround 8%, LRubbleRock01 8%
(26, 24, 21)        396   0.30%  89.55%        10      60.0%          5        1.77   <no BTXT under layers> 60%, LDirtPath01 10%, LRootsEroded01 10%
(27, 26, 26)        376   0.29%  89.84%   (no painted sample in this bin)
(25, 23, 21)        376   0.29%  90.13%        25      44.0%          8        2.26   <no BTXT under layers> 44%, LDirtGravel01 28%, LRiverbedSilt01 8%
(27, 26, 24)        370   0.28%  90.41%         1     100.0%          1       -0.00   LRiverbedSilt01 100%
(18, 16, 13)        357   0.27%  90.68%        27      29.6%         10        2.85   LNFoothillsRubbleRock01 30%, LNF_Dirt01 22%, <no BTXT under layers> 15%
(24, 21, 18)        350   0.27%  90.94%        37      70.3%          7        1.60   <no BTXT under layers> 70%, LForestFloor01 8%, LFallenLeaves01 8%
(25, 24, 22)        330   0.25%  91.19%        24      45.8%          7        2.30   LDirtGravel01 46%, LDebrisGround 17%, <no BTXT under layers> 12%
(26, 24, 22)        330   0.25%  91.44%         6      50.0%          4        1.79   <no BTXT under layers> 50%, LRiverbedSilt01 17%, LDirtGravel01 17%
(20, 19, 17)        319   0.24%  91.69%       329      25.8%         29        3.68   <no BTXT under layers> 26%, LDirtGravel01 18%, LCoastSandDry01 12%
(27, 26, 25)        319   0.24%  91.93%   (no painted sample in this bin)
(24, 23, 20)        307   0.23%  92.16%        55      41.8%         11        2.67   <no BTXT under layers> 42%, LDirtGravel01 18%, LRubbleRock01 9%
(27, 27, 27)        278   0.21%  92.37%   (no painted sample in this bin)
